Period,Month,Detail,Total Pay,First Pay,Second Pay,Status First Pay,Status Second Pay
202401,January,TC Banco de Bogota,990,590,400,ok,
202401,January,Alquiler,542,542,,ok,
202401,January,Credito Fondecom (fondegarantias),1010,500,510,ok,
202401,January,TC AVVILLAS,392,392,,ok,
202401,January,Comida,600,300,300,ok,
202401,January,Asopagos,150,150,,ok,
202401,January,MI PAGO (Tyba),200,100,100,ok,
202401,January,Inverciones Zukaritas,200,100,100,ok,
202401,January,Ropa,170,110,60,ok,
202401,January,Prestamo Diana,50,50,,ok,
202401,January,Higiene personal,50,,50,ok,
202401,January,Salida Teathron (Tyba),100,50,50,ok,
202401,January,Seguro bici,45,45,,ok,
202401,January,Servicios Jamundi,65,35,30,ok,
202401,January,BEPS,30,15,15,ok,
202401,January,PeluquerÃ­a o belleza,15,,15,,
202401,January,Ahorro pa la moto,1500,,1500,,
202401,January,Hipoteca,650,,650,,
202401,January,Cuadro manifestacion Moto,350,,350,,
202401,January,Credito Bancolombia,250,,250,,
202401,January,ðŸ’œðŸ–¤,250,,250,,
202401,January,Calistenia,160,,160,,
202401,January,Las bendis,150,,150,,
202401,January,Club del 1%,100,,100,,
202401,January,Datos,50,,50,,
202401,January,iCloud,12,,12,,
202401,January,Music,9,,9,,
202402,February,Ahorro pa la moto,3000,1500,1500,,
202402,February,Alquiler,550,550,,,
202402,February,Credito Fondecom (fondegarantias),1010,500,510,,
202402,February,Hipoteca,7300,300,7000,,
202402,February,Comida,600,300,300,,
202402,February,Regalos,300,300,,,
202402,February,MI PAGO (Tyba),200,100,100,,
202402,February,Inverciones Zukaritas,200,100,100,,
202402,February,Servicios Jamundi,130,100,30,,
202402,February,Ropa,60,60,,,
202402,February,Salida Teathron (Tyba),100,50,50,,
202402,February,Seguro bici,50,50,,,
202402,February,PeluquerÃ­a o belleza,30,15,15,,
202402,February,BEPS,30,15,15,,
202402,February,TC Banco de Bogota,1200,,1200,,
202402,February,Credito Bancolombia,250,,250,,
202402,February,ðŸ’œðŸ–¤,250,,250,,
202402,February,Calistenia,160,,160,,
202402,February,Las bendis,150,,150,,
202402,February,Club del 1%,100,,100,,
202402,February,Datos,50,,50,,
202402,February,iCloud,12,,12,,
202402,February,Music,9,,9,,
202403,March,Ahorro pa la moto,3000,1500,1500,,
202403,March,Alquiler,550,550,,,
202403,March,Credito Fondecom (fondegarantias),1010,500,510,,
202403,March,Comida,600,300,300,,
202403,March,Regalos,300,300,,,
202403,March,Salida BIDS,300,300,,,
202403,March,Mantenimiento Bici,120,120,,,
202403,March,MI PAGO (Tyba),200,100,100,,
202403,March,Inverciones Zukaritas,200,100,100,,
202403,March,Servicios Jamundi,130,100,30,,
202403,March,Ropa,120,60,60,,
202403,March,Salida Teathron (Tyba),100,50,50,,
202403,March,Seguro bici,50,50,,,
202403,March,Higiene personal,80,40,40,,
202403,March,PeluquerÃ­a o belleza,30,15,15,,
202403,March,BEPS,30,15,15,,
202403,March,TC Banco de Bogota,1200,,1200,,
202403,March,Credito Bancolombia,250,,250,,
202403,March,ðŸ’œðŸ–¤,250,,250,,
202403,March,Calistenia,160,,160,,
202403,March,Las bendis,150,,150,,
202403,March,Club del 1%,100,,100,,
202403,March,Datos,50,,50,,
202403,March,iCloud,12,,12,,
202403,March,Music,9,,9,,
202404,April,Ahorro pa la moto,3000,1500,1500,,
202404,April,Alquiler,550,550,,,
202404,April,Credito Fondecom (fondegarantias),1010,500,510,,
202404,April,Comida,600,300,300,,
202404,April,MI PAGO (Tyba),200,100,100,,
202404,April,Inverciones Zukaritas,200,100,100,,
202404,April,Servicios Jamundi,130,100,30,,
202404,April,Ropa,120,60,60,,
202404,April,Salida Teathron (Tyba),100,50,50,,
202404,April,Seguro bici,50,50,,,
202404,April,PeluquerÃ­a o belleza,30,15,15,,
202404,April,BEPS,30,15,15,,
202404,April,TC Banco de Bogota,1200,,1200,,
202404,April,Credito Bancolombia,250,,250,,
202404,April,Impuestos a la propiedad,250,,250,,
202404,April,ðŸ’œðŸ–¤,250,,250,,
202404,April,Calistenia,160,,160,,
202404,April,Las bendis,150,,150,,
202404,April,Club del 1%,100,,100,,
202404,April,Datos,50,,50,,
202404,April,iCloud,12,,12,,
202404,April,Music,9,,9,,
202405,May,Ahorro pa la moto,3000,1500,1500,,
202405,May,Alquiler,550,550,,,
202405,May,Credito Fondecom (fondegarantias),1010,500,510,,
202405,May,Comida,600,300,300,,
202405,May,MI PAGO (Tyba),200,100,100,,
202405,May,Inverciones Zukaritas,200,100,100,,
202405,May,Servicios Jamundi,130,100,30,,
202405,May,Regalos,100,100,,,
202405,May,Higiene personal,100,50,50,,
202405,May,Salida Teathron (Tyba),100,50,50,,
202405,May,Seguro bici,50,50,,,
202405,May,PeluquerÃ­a o belleza,30,15,15,,
202405,May,BEPS,30,15,15,,
202405,May,TC Banco de Bogota,1200,,1200,,
202405,May,Credito Bancolombia,250,,250,,
202405,May,ðŸ’œðŸ–¤,250,,250,,
202405,May,Calistenia,160,,160,,
202405,May,Las bendis,150,,150,,
202405,May,Club del 1%,100,,100,,
202405,May,Datos,50,,50,,
202405,May,iCloud,12,,12,,
202405,May,Music,9,,9,,
202406,June,Ahorro pa la moto,3000,1500,1500,,
202406,June,Alquiler,550,550,,,
202406,June,Credito Fondecom (fondegarantias),1010,500,510,,
202406,June,Regalos,350,350,,,
202406,June,Comida,600,300,300,,
202406,June,Mantenimiento Bici,120,120,,,
202406,June,MI PAGO (Tyba),200,100,100,,
202406,June,Inverciones Zukaritas,200,100,100,,
202406,June,Servicios Jamundi,130,100,30,,
202406,June,Salida Teathron (Tyba),100,50,50,,
202406,June,Seguro bici,50,50,,,
202406,June,PeluquerÃ­a o belleza,30,15,15,,
202406,June,BEPS,30,15,15,,
202406,June,Vuelos Brazil,2000,,2000,,
202406,June,TC Banco de Bogota,1200,,1200,,
202406,June,Credito Bancolombia,250,,250,,
202406,June,ðŸ’œðŸ–¤,250,,250,,
202406,June,Calistenia,160,,160,,
202406,June,Las bendis,150,,150,,
202406,June,Club del 1%,100,,100,,
202406,June,iCloud,12,,12,,
202406,June,Music,9,,9,,
202407,July,Ahorro pa la moto,3000,1500,1500,,
202407,July,Alquiler,550,550,,,
202407,July,Credito Fondecom (fondegarantias),1010,500,510,,
202407,July,Comida,600,300,300,,
202407,July,MI PAGO (Tyba),200,100,100,,
202407,July,Inverciones Zukaritas,200,100,100,,
202407,July,Servicios Jamundi,130,100,30,,
202407,July,Salida Teathron (Tyba),100,50,50,,
202407,July,Seguro bici,50,50,,,
202407,July,PeluquerÃ­a o belleza,30,15,15,,
202407,July,BEPS,30,15,15,,
202407,July,TC Banco de Bogota,1200,,1200,,
202407,July,ðŸ’œðŸ–¤,350,,350,,
202407,July,Credito Bancolombia,250,,250,,
202407,July,Calistenia,160,,160,,
202407,July,Las bendis,150,,150,,
202407,July,Club del 1%,100,,100,,
202407,July,Datos,50,,50,,
202407,July,iCloud,12,,12,,
202407,July,Music,9,,9,,
202408,August,Ahorro pa la moto,3000,1500,1500,,
202408,August,Alquiler,550,550,,,
202408,August,Credito Fondecom (fondegarantias),1010,500,510,,
202408,August,Comida,600,300,300,,
202408,August,MI PAGO (Tyba),200,100,100,,
202408,August,Inverciones Zukaritas,200,100,100,,
202408,August,Servicios Jamundi,130,100,30,,
202408,August,Salida Teathron (Tyba),100,50,50,,
202408,August,Seguro bici,50,50,,,
202408,August,PeluquerÃ­a o belleza,30,15,15,,
202408,August,BEPS,30,15,15,,
202408,August,TC Banco de Bogota,1200,,1200,,
202408,August,ðŸ’œðŸ–¤,350,,350,,
202408,August,Credito Bancolombia,250,,250,,
202408,August,Calistenia,160,,160,,
202408,August,Las bendis,150,,150,,
202408,August,Club del 1%,100,,100,,
202408,August,Datos,48,,48,,
202408,August,iCloud,12,,12,,
202408,August,Music,9,,9,,
202409,September,Ahorro pa la moto,3000,1500,1500,,
202409,September,Alquiler,550,550,,,
202409,September,Credito Fondecom (fondegarantias),1010,500,510,,
202409,September,Comida,600,300,300,,
202409,September,Regalos,400,200,200,,
202409,September,Mantenimiento Bici,120,120,,,
202409,September,MI PAGO (Tyba),200,100,100,,
202409,September,Inverciones Zukaritas,200,100,100,,
202409,September,Servicios Jamundi,130,100,30,,
202409,September,Salida Teathron (Tyba),100,50,50,,
202409,September,Seguro bici,50,50,,,
202409,September,BEPS,30,15,15,,
202409,September,TC Banco de Bogota,1200,,1200,,
202409,September,ðŸ’œðŸ–¤,350,,350,,
202409,September,Credito Bancolombia,250,,250,,
202409,September,Calistenia,160,,160,,
202409,September,Las bendis,150,,150,,
202409,September,Club del 1%,100,,100,,
202409,September,Datos,31,,31,,
202409,September,iCloud,12,,12,,
202409,September,Music,9,,9,,
202410,October,Ahorro pa la moto,3000,1500,1500,,
202410,October,Alquiler,550,550,,,
202410,October,Credito Fondecom (fondegarantias),1010,500,510,,
202410,October,Comida,600,300,300,,
202410,October,MI PAGO (Tyba),200,100,100,,
202410,October,Inverciones Zukaritas,200,100,100,,
202410,October,Servicios Jamundi,130,100,30,,
202410,October,Salida Teathron (Tyba),50,50,,,
202410,October,Seguro bici,45,45,,,
202410,October,PeluquerÃ­a o belleza,30,15,15,,
202410,October,BEPS,30,15,15,,
202410,October,TC Banco de Bogota,1200,,1200,,
202410,October,ðŸ’œðŸ–¤,350,,350,,
202410,October,Credito Bancolombia,250,,250,,
202410,October,Calistenia,160,,160,,
202410,October,Las bendis,150,,150,,
202410,October,Club del 1%,100,,100,,
202410,October,Datos,39,,39,,
202410,October,iCloud,12,,12,,
202410,October,Music,9,,9,,
202411,November,Ahorro pa la moto,3000,1500,1500,,
202411,November,Alquiler,550,550,,,
202411,November,Comida,600,300,300,,
202411,November,Regalos,200,200,,,
202411,November,Inverciones Zukaritas,200,100,100,,
202411,November,Servicios Jamundi,130,100,30,,
202411,November,Seguro bici,45,45,,,
202411,November,BEPS,30,15,15,,
202411,November,TC Banco de Bogota,1200,,1200,,
202411,November,ðŸ’œðŸ–¤,350,,350,,
202411,November,Credito Bancolombia,250,,250,,
202411,November,Calistenia,160,,160,,
202411,November,Las bendis,150,,150,,
202411,November,Club del 1%,100,,100,,
202411,November,Datos,50,,50,,
202411,November,iCloud,12,,12,,
202411,November,Music,9,,9,,
202412,December,Ahorro pa la moto,3000,1500,1500,,
202412,December,Regalos,700,700,,,
202412,December,Alquiler,550,550,,,
202412,December,Regalos,500,400,100,,
202412,December,Comida,600,300,300,,
202412,December,Mantenimiento Bici,120,120,,,
202412,December,MI PAGO (Tyba),200,100,100,,
202412,December,Inverciones Zukaritas,200,100,100,,
202412,December,Servicios Jamundi,130,100,30,,
202412,December,Seguro bici,50,50,,,
202412,December,PeluquerÃ­a o belleza,30,15,15,,
202412,December,BEPS,30,15,15,,
202412,December,TC Banco de Bogota,1200,,1200,,
202412,December,ðŸ’œðŸ–¤,350,,350,,
202412,December,Credito Bancolombia,250,,250,,
202412,December,Calistenia,160,,160,,
202412,December,Las bendis,150,,150,,
202412,December,Club del 1%,100,,100,,
202412,December,Datos,50,,50,,
202412,December,iCloud,12,,12,,
202412,December,Music,9,,9,,